AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Variations,Level
188,SHEETALI PRANAYAMA ,"Sit in any comfortable meditation posture.
Close the eyes and relax the whole body.
Extend the tongue outside the mouth as far as possible
without strain.Roll the sides of the tongue up so that it
forms a tube. Practise a long, smooth and controlled
inhalation through the rolled tongue.
At the end of inhalation, draw the tongue in, close the
mouth and exhale through the nose.
Practise yogic breathing throughout.
The breath should produce a sucking sound.
A feeling of icy coldness will be experienced on the tongue
and the roof of the mouth. This is one round. ","This practice cools the body and affects important
brain centres associated with biological drives and temperature regulation. It cools and reduces mental and
emotional excitation, and encourages the free flow of prana
throughout the body. It induces muscular relaxation,
mental tranquillity and may be used as a tranquillizer
before sleep. It gives control over hunger and thirst, and
generates a feeling of satisfaction","People suffering from low blood pressure
or respiratory disorders such as asthma, bronchitis and
excessive mucous, should not practise this pranayama.
Those with heart disease should practise without breath
retention.
This practice cools down the activity of the lower energy
centres and therefore those suffering from chronic constipation should avoid it. Generally, this pranayama should
not be practised in winter or in cool climates. ",": With practice, the duration of the inhalation should
gradually become longer to increase the cooling effect.
Gradually increase the number of rounds from 9 to 1 5.
For general purposes 15 rounds is sufficient; however, up
to 60 rounds may be performed in very hot weather. ","On the tongue, the sound and the cooling sensation of the inhaled breath",,,,"Sheetali is derived from the root sheet, which means 'cold'.
Sheetal means 'that which is calm, passionless and soothing'. ",
189,SHEETKARI PRANAYAMA ,"Sit in any comfortable meditation posture.
Close the eyes and relax the whole body.
Hold the teeth lightly together.
Separate the lips, exposing the teeth.
The tongue may be kept flat or folded against the soft
palate in khechari mudra.
Inhale slowly and deeply through the teeth.
At the end of the inhalation, close the mouth.
Exhale slowly through the nose in a controlled manner.
This is one round. ",,"As for sheetali pranayama. Practitioners
with sensitive teeth, missing teeth or dentures should
practise sheetali pranayama instead.",,"On the hissing sound and the cooling sensation
of the inhaled breath. ",,,,"Sheetali is derived from the root sheet, which means 'cold'.
Sheetal means 'that which is calm, passionless and soothing'. ",
190,BHRAMARI PRANAYAMA ,"Sit in a comfortable meditation asana, preferably padmasana or siddha/siddha yoni asana with the hands resting
on the knees in joana or chin mudra.
Close the eyes and relax the whole body.
The lips should remain gently closed with the teeth slightly
separated throughout the practice. This allows the sound
vibration to be heard and felt more distinctly.
Raise the arms sideways and bend the elbows, bringing the
hands to the ears. Use the index or middle finger to plug
the ears or the flaps of the ears may be pressed without
inserting the fingers.
Bring the awareness to the centre of the head, where ajna
chakra is located, and keep the body absolutely still.
Inhale through the nose.
Exhale slowly and in a controlled manner while making a
deep, steady humming sound like that of the black bee.
The humming should be smooth, even and continuous for
the duration of the exhalation. The sound should be soft
and mellow, making the front of the skull reverberate. At the end of exhalation, the hands can be kept steady or
returned to the knee and then raised again for the next
round. The inhalation and exhalation should be smooth
and controlled. This is one round. ","Bhramari relieves stress and cerebral tension, and
so helps in alleviating anger, anxiety and insomnia, increasing the healing capacity of the body. It strengthens
and improves the voice. Bhramari induces a meditative
state by harmonizing the mind and directing the awareness
inward. The vibration of the humming sound creates a
soothing effect on the mind and nen'ous system. ","Bhramari should not be performed while
lying down. People suffering from severe ear infections
should not practise this pranayama. "," 5 to I 0 rounds is sufficient in the beginning, then
slowly increase to I 0 to I5 minutes. In cases of extretne
mental tension or anxiety, or when used to assist the healing
process, practise for up to 30 minutes. ","Physical - on the humming sound within the head
and on the steady, even breath.
Spiritual - on ajna chakra. ",,,,,
191,UJJAYI PRANAYAMA ,"Sit in any comfortable meditation asana.
Close the eyes and relax the whole body.
Take the awareness to the breath in the nostrils and allow
the breathing to become calm and rhythmic.
After some time, transfer the awareness to the throat.
Feel or imagine that the breath is being drawn in and out
through the throat and not through the nostrils, as if it is
taking place through a small hole in the throat.
As the breathing becomes slower and deeper, gently
contract the glottis so that a soft snoring sound, like the
breathing of a sleeping baby, is produced in the throat. If
practised correctly, there will be a spontaneous contraction
of the abdomen, without any effort being made.
Both inhalation and exhalation should be long, deep and
controlled.
Practise yogic breathing while concentrating on the sound
produced by the breath in the throat.
The sound of the breath should be audible to the
practitioner alone"," Ujjayi is classified as a tranquillizing pranayama and
it also has a heating effect on the body. This practice
soothes the nervous system and calms the mind. It has a
profoundly relaxing effect at the psychic level. It helps to
relieve insomnia and may be practised in shavasana just
before sleep. It slows down the heart rate and is useful for
people suffering from high blood pressure.","People who are too introverted by nature
should not perform this practice",": Begin with 10 breaths and slowly increase to 5
minutes for general benefits.
As an adjunct to meditation or mantra repetition, practise
for 10 to 20 minutes. ","When this breathing has been mastered, fold the
tongue back into khechari n1udra (refer to the section
Mudra).
If the tongue becomes tired, release it, while continuing
the ujjayi breathing. When the tongue is rested, again fold
it back. ",,,,,
192,BHASTRIKA PRANAYAMA,"Sit in a comfortable meditation posture with the hands
resting on the knees in either chin or jnana mudra.
Keep the head and spine straight, close the eyes and relax
the whole body.
Take a deep breath in and breathe out forcefully through
the nose. Immediately afterwards breathe in with the same
force. Forceful inhalation results from fully expanding the
abdominal muscles and forceful exhalation from firm
contraction of the abdominal muscles. Do not strain.
During inhalation, the diaphragm descends and the
abdomen moves outward. During exhalation, the diaphragm moves upward and the abdomen moves inward.
The movements should be slightly exaggerated.
Continue in this manner, counting 10 breaths.
Take a deep breath in and breathe out slowly.
This is one round. Practise up to 5 rounds","This practice burns up toxins and helps balance the
doshas or humours: kapha, phlegm; pitta, bile; and vata,
wind. It is a useful practice for women during labour after
a few months of proper preparation.
Because of the rapid exchange of air in the lungs, there is
an increase in the exchange of oxygen and carbon dioxide
into and out of the bloodstream. This stimulates the
metabolic rate, producing heat and flushing out wastes
and toxins. The rapid and rhythmic movement of the
diaphragm also massages and stimulates the visceral
organs, toning the digestive system.
Bhastrika reduces the level of carbon dioxide in the blood.
It helps to alleviate inflammation in the throat and any
accumulation of phlegm. It balances and strengthens the
nervous system, inducing peace, tranquillity and onepointedness of mind in preparation for meditation. ","Bhastrika should not be practised by
people with high blood pressure, heart disease, hernia,
gastric ulcer, stroke, epilepsy, retinal problems, glaucoma
or vertigo. The elderly, those suffering from lung diseases
such as asthma and chronic bronchitis, those recovering
from tuberculosis, or in the first trimester of pregnancy
are recommended to practise only under the guidance of
a competent teacher. ","Beginners may take several free breaths between
rounds so that there is no strain.
Breathing may be practised at 3 breath rates: slow, medium
and fast, depending on individual capacity.
Slow bhastrika is approximately one breath every 2 seconds,
with no undue force on inhalation or exhalation. It is like
amplified normal breathing. It is especially useful for
beginners, but may also be practised at all stages.
Medium breathing increases the speed of respiration to
approximately one breath every second.
Fast breathing means a speed of around 2 breaths per
second. Both medium and fast breathing are suitable for
intermediate and advanced practitioners.
As abdominal muscles become stronger with regular
practice, the number of respirations may be increased by 5
per month until the count of 50 respirations is attained.","Physical - on the breathing process and the physical movement of the abdomen.
Spiritual - on tnanipura chakra. ",,,,,
193,KAPALBHATI PRANAYAMA ,"Sit in a comfortable meditation asana. The head and spine
should be straight with the hands resting on the knees in
either chin or jnana mudra.
Close the eyes and relax the whole body.
Exhale through both nostrils with a forceful contraction of
the abdominal muscles. The following inhalation should
take place passively by allowing the abdominal muscles to
relax.
Inhalation should be a spontaneous recoil, involving no
effort.
After completing 10 rapid breaths in succession, inhale
and exhale deeply. Allow the breath to return to normal.
This is one round. Practise up to 5 rounds. ","Kapalbhati has a cleansing effect on the lungs and is
a good practice for respiratory disorders. It balances and
strengthens the nervous system and tones the digestive
organs. It purifies the nadis, and removes sensory distractions. It energizes the mind for mental work and
removes sleepiness. ",": Kapalbhati should not be practised by
those suffering from heart disease, high blood pressure,vertigo, epilepsy, stroke, hernia or gastric ulcer. It is not
recommended during pregnancy","The rapid breathing should be from the abdomen;
the shoulders and face remain relaxed.
Beginners may take several free breaths between rounds.
The number of respirations may be increased from the
initial count of 10 up to 50, as the abdominal muscles
become stronger. Advanced practitioners can increase up
to 60 or 1 00 breaths per round.",,,,,,
194,MOORCHHA PRANAYAMA,"Sit in any comfortable meditation asana, preferably
padmasana or siddha/siddha yoni asana.
Keep the head and spine straight. Relax the whole body.
Obsenre the breath until it becomes slow and deep.
Adopt khechari mudra, then slowly inhale through both
nostrils with ujjayi pranayama, while gently and smoothly
bending the head slightly back.
Perform shambhavi mudra.
Straighten the arms by locking the elbows and pressing
the knees with the hands.
Retain the breath inside for as long as is comfortable,
maintaining shambhavi mudra.
Exhale and relax the arms. Close the eyes and slowly bring
the head back to the upright position.
Relax the whole body for a few seconds, keeping the eyes
closed. Experience the lightness and tranquillity in the
mind and body. This is one round. ","Moorchha pranayama is an excellent preparation
for meditation as it draws the mind inwards and enables a
psychic state to be experienced. It cuts out the distractions
of the outside world, inhibits identification with the physical
body and brings about mental tranquillity. It helps alleviate
tension, anxiety, anger and neuroses, and raises the level
of prana. ","This technique should not be practised
by those suffering from heart disease, high blood pressure,
epilepsy, brain disorders or atherosclerosis of the carotid
or basilar arteries. Discontinue the practice as soon as the
fainting sensation is felt. The aim is to induce a swooning
sensation, not complete unconsciousness",,"Physical - on the breath, head movement and
eyebrow centre.
Spiritual - on the void behind the eyebrow centre.",,,,,
195,Surya Bheda Pranayama (vitality stimulating breath) ,"Assume a comfortable meditation asana. Place the hands
on the knees in either chin or jnana mudra. Close the eyes
and relax the whole body.
When the body is comfortable and still, watch the breath
until it spontaneously becomes slow and deep.
Adopt nasagra mudra.
Close the left nostril with the ring finger and inhale slowly
and deeply through the right nostril.
Exhale slowly through the right nostril, keeping the left
nostril closed with the ring finger.
This is one round. "," This practice creates heat in the body and counteracts
imbalances of the vata (wind) and kapha (phlegm) doshas
(humours). It stimulates and awakens the pranic energy by
activating pingala nadi. By increasing extroversion and
dynamism, it enables physical activities to be performed
more efficiently and helps to alleviate depression. It is
especially recommended for those who are dull and
lethargic or who find it difficult to communicate with the
external world. It makes the mind more alert and
perceptive and is an excellent pre-meditation pranayama."," People suffering from heart disease,
hypertension, epilepsy, hyperthyroid, peptic ulcer, acidity
or anxiety should not practise this pranayama.",": When first practising surya bheda pranayama, 10
rounds are sufficient. Over time, however, as the practice
becomes comfortable, the duration may be increased to 10
416 
minutes. Slowly increase the length of retention over a
matter of months.
A ratio of 1: 1: 1 may be introduced to stabilize the practice.
Once this is mastered, it may be increased to 1: 1 :2 and
then 1 :2:2. ",On the breath in the right nostril.,,,,"Technique 2: with Antar Kumbhaka (inner retention)
At the end of inhalation close both nostrils. Maintain the
internal retention for a comfortable length of time.
Exhale slowly through the right nostril, keeping the left
nostril closed with the ring finger.
Slowly increase the duration of the inhalation, retention
and exhalation without straining. ",
196,Jnana Mudra (psychic gesture of knowledge),Assume a comfortable meditation posture. Fold the index fingers so that they touch the inside root of the thumbs. Straighten the other three fingers of each hand so that they are relaxed and slightly apart. Place the hands on the knees with the palms facing down. Relax the hands and arms.,"Jnana mudra and chin mudra are simple but important psycho-neural finger locks which make meditation asanas more powerful. The palms and fingers of the hands 425 have many nerve root endings which constantly emit energy. When the index finger touches the thumb, a circuit is produced which allows the energy that would normally dissipate into the environment to travel back through the body and up to the brain. When the fingers and hands are placed on the knees, the knees are sensitized, creating another pranic circuit that maintains and redirects prana within the body. In addition, placing the hands on the knees stimulates a nadi which runs from the knees, up the inside of the thighs and into the perineum. This nadi is known as gupta or the hidden nadi. Sensitizing this channel helps to stimulate the energies at mooladhara chakra. When the palms face upward in chin mudra, the chest area is opened up. The practitioner may experience this as a sense of lightness and receptivity, which is absent in the practice of jnana mudra.",,,,,,,"J nana and chin mudras are often performed with the tip of the thumb and index finger touching and forming a circle. Beginners may find this variation les� secure for prolonged periods of meditation, as the thumb and index finger tend to separate more easily when body awareness is lost. Otherwise, this variation is as effective as the basic position.",
197,Chin Mudra (psychic gesture of consciousness),"Chin mudra is performed in the same way as jnana mudra, except that the palms ofboth hands face upwards, with the backs of the hands resting on the knees. Relax the hands and arms.","Jnana mudra and chin mudra are simple but important psycho-neural finger locks which make meditation asanas more powerful. The palms and fingers of the hands 425 have many nerve root endings which constantly emit energy. When the index finger touches the thumb, a circuit is produced which allows the energy that would normally dissipate into the environment to travel back through the body and up to the brain. When the fingers and hands are placed on the knees, the knees are sensitized, creating another pranic circuit that maintains and redirects prana within the body. In addition, placing the hands on the knees stimulates a nadi which runs from the knees, up the inside of the thighs and into the perineum. This nadi is known as gupta or the hidden nadi. Sensitizing this channel helps to stimulate the energies at mooladhara chakra. When the palms face upward in chin mudra, the chest area is opened up. The practitioner may experience this as a sense of lightness and receptivity, which is absent in the practice of jnana mudra.",,,,,,,"J nana and chin mudras are often performed with the tip of the thumb and index finger touching and forming a circle. Beginners may find this variation les� secure for prolonged periods of meditation, as the thumb and index finger tend to separate more easily when body awareness is lost. Otherwise, this variation is as effective as the basic position.",
198,"Yoni mudra may also be performed by interlocking the middle, ring and little fingers without turning them inward. The thumbs may be crossed in front of the outstretched index fingers, or outstretched with the pads touching towards the body.","Assume a comfortable meditation posture with the head
and spine straight.
Place the palms of the hands together with the fingers and
thumbs straight and pointing away from the body.
Keeping the pads of the index fingers together, turn the
little, ring and middle fingers inwards so that the backs of
the fingers are touching.
Interlock the little, ring and middle fingers.
Bring the thumbs towards the body and join the pads of
the fingers together to form the base of a yoni or womb
shape. ",": The interlocking of the fingers in this practice creates
a complete cross-connection of energies from the right
hand into the left and vice versa. As well as balancing the
energies in the body, it helps to balance the activities of the
right and left hemispheres of the brain. Placing the tips of
the index fingers and thumbs together further intensifies
the flow of prana.
This mudra makes the body and mind more stable in
meditation and develops greater concentration, awareness
and internal physical relaxation.
It redirects prana back into the body which would othetwise
be dispersed through the hands and fingers. The elbows
naturally tend to point to the side when performing this
mudra which helps open up the chest area. ",,,,,,,"Yoni mudra may also be performed by interlocking
the middle, ring and little fingers without turning them
inward. The thumbs may be crossed in front of the outstretched index fingers, or outstretched with the pads
touching towards the body. ",
199,Bhairava Mudra (fierce or terrifying attitude),"Assume a comfortable meditation posture with the head
and spine straight.
Place the right hand on top of the left, so that the palms of
both hands are facing upward. Both hands rest in the lap.
Close the eyes and relax the whole body, keeping it
motionless","The two hands represent ida and pingala no.dis, and the
union of the individual with the supreme consciousness.
Bhairava mudra is used in prano. mudra. It may also be used
during pranayama and meditation practice. ",,,,,,,"When the left hand is placed on top of the right, the
practice is called Bhairavi mudra. Bhairavi is the female
counterpart of Bhairava. ",
200,Hridaya Mudra (heart gesture) ,"Sit in any comfortable meditation asana with the head and
spine straight.
Place the tips of the index fingers at the root of the thumbs,
as in chin and jnana mudras, and join the tips of the
middle and ring fingers to the tips of the thumbs. The
little finger remains straight.
Place the hands on the knees with the palms facing upward.
Close the eyes and relax the whole body, keeping it
motionless. ",": This mudra diverts the flow of prana from the hands
to the heart area, improving the vitality of the heart. The
middle and ring fmgers relate directly to nadis connected
with the heart, while the thumb closes the pranic circuit
and acts as an energizer, diverting the flow of prana from
the hands to these nadis . . Hridaya mudra is therefore
beneficial for the heart. It is very simple and may be used
safely and easily, even in acute situations. The heart is the
centre of emotion. Hridaya mudra helps to release pentup emotion and unburden the heart. It may be practised
during emotional conflict and crisis. ",,,"Physical - on the breath in the chest area.
Spiritual - on anahata chakra.",,,,: This practice may be performed for up to 30 minutes. ,
201,Shambhavi Mudra (eyebrow centre gazing),"Sit in any comfortable meditation asana.
Keep the head and spine upright and straight, and place
the hands on the knees in either chin or jnana mudra.
Close the eyes and relax the whole body.
Relax all the muscles of the face, including the forehead,
the eyes and behind the eyes.
Slowly open the eyes and look ahead at a fixed point,
keeping the head and the whole body absolutely still.
Next, look upward and inward, focusing the eyes at the
eyebrow centre.
The head should not move.
When performed correctly, the curve of the eyebrows will
form a V -shaped image. The apex of the V is located at the
eyebrow centre.
If the V-formation is not seen, the gaze is not directed
upward and inward correctly.
Release the gaze at the slightest sensation of strain.
Hold the gaze for only a few seconds at first.
Close the eyes and relax them.
Suspend the thought processes and meditate on the stillness
in the dark space in front of the closed eyes. ","Physically, shambhavi mudra strengthens the eye
muscles and releases accumulated tension in this area.
Mentally, it calms the mind, removing emotional stress and
anger. It develops concentration, mental stability and the
state of thoughtlessness. ",": The eyes are very sensitive and consequently the
final position should not be held for too long. If the nerves
are weak, any strain can cause retinal detachment. Release
the position when strain is experienced. People suffering from glaucoma should
not practise this mudra. Those with diabetic retinopathy
or those who have just had cataract surgery, lens implant
or other eye operation, should not perform shambhavi
without the guidance of a competent teacher. ","after mastering the eye movement, coordinate it
with the breath.
Inhale slowly while raising the gaze.
Hold the breath while maintaining the upward gaze.
Exhale slowly as the gaze is lowered. ",": Physical - on the sensations in the eyes, and on
relaxing them between rounds.
Spiritual - on ajna chakra. ",,,,"Once shambhavi mudra has been mastered with the eyes
open, it may be performed with the eyes closed. This is a
more powerful practice because the awareness is more
internalized. Be careful not to lose awareness of the eyebrow
centre during the practice. Always ensure that the inner
gaze is directed upward, although the eyes are closed. ",
202,Nasikagra Drishti (nosetip gazing),"Sit in any comfortable meditation posture with the head
and spine straight.
Rest the hands on the knees in chin or jnana mudra.
433 
Close the eyes and relax the whole body.
Open the eyes and focus them on the nosetip.
Do not strain the eyes in any way.
When the eyes are correctly focused a refraction of light,
forming a V is seen just above the nosetip.
Concentrate on the apex of the V.
Become completely absorbed in the practice to the
exclusion of all other thoughts.
After a few seconds, close the eyes and relax them before
repeating the practice.
Continue for up to 5 minutes.","Nasikagra drishti is an excellent technique for
calming anger and disturbed states of mind. Although
the eyes are open, the aim of this practice is to create
introspection. The open eyes should not be aware of
the outside world. Focusing them on the nosetip concentrates the mind.
This mudra develops the powers of concentration and
induces meditative states. It takes the practitioner into the
psychic and spiritual planes of consciousness. ",": People suffering from glaucoma should
not practice this mudra. Those with diabetic retinopathy
or who have just had cataract surgery, lens implant or
other eye operations, should not perform nasikagra drishti
without the guidance of a competent teacher.
Those suffering from depression should avoid this practice. ","Nasikagra drishti should be practised with normal
breathing. ",": Physical - on the muscles of the eyes, and on
relaxing them completely between rounds.
Spiritual - on mooladhara chakra.",,,,,
203,Khechari Mudra (tongue lock),"Sit in any comfortable meditation pose, preferably
padmasana or siddha/siddha yoni asana, with the head
and spine straight and the hands in chin or jnana mudra.
Relax the whole body and close the eyes.
Fold the tongue upward and backward, so that the lower
surface lies in contact with the upper palate.
Stretch the tip of the tongue backward as far as is comfortable.
Do not strain.
Perform ujjayi pranayama.
Breathe slowly and deeply.
Hold the tongue lock for as long as possible without
straining.
At first there may be some discomfort and ujjayi pranayama
may irritate the throat, but with practice it will become
more comfortable.
When the tongue becomes tired, release and relax it, then
repeat the practice. ","Khechari mudra stimulates a number of pressure
points located in the back of the mouth and the nasal
cavity. These points influence the whole body. A number
of glands are also massaged, stimulating the secretion of
certain hormones and of saliva. This practice reduces the
sensations of hunger and thirst, and induces a state of
inner calm and stillness. It preserves the vitality of the
body and is especially beneficial for inner healing.
Ultimately, this mudra has the potential to stimulate prana
and awaken kundalini shakti.","Discontinue this mudra if a bitter secretion is
tasted. Such a secretion is a sign of toxins in the system. Tongue ulcers and other common mouth
ailments will temporarily preclude performance of this
practice. ","Gradually reduce the respiration rate over a period
of months until the number of breaths per minute is 5 or
6. This may be reduced further under the guidance of a
competent teacher","Physical - on the stretch of the tongue and the
light pressure against the upper palate ..
Spiritual - at vishuddhi chakra.",,,,"The advanced hatha yoga form of this practice
involves the careful severing of the frenum beneath the
tongue so that it can move right into the nasal cavity and
stimulate important psychic centres situated there. This
form of khechari mudra is not recommended here, as the
effects make it unsuitable for interaction with the outside
world. ",
204,Kaki Mudra (the crow's beak) ,"Sit in any comfortable meditation asana with the head and
spine straight and the hands resting on the knees in either
chin or jnana mudra.
Close the eyes and relax the whole body for a few minutes.
Open the eyes and perform nasikagra drishti by focusing
both eyes on the nosetip.
Try not to blink the eyes throughout this practice.
Purse the lips, forming a beak through which air may be
inhaled.
The tongue should be relaxed.
Inhale slowly and deeply through the pursed lips.
At the end of inhalation close the lips and exhale slowly
through the nose.
Repeat the process for 3 to 5 minutes. ","Kaki mudra cools the body and mind and soothes
mental tensions. In addition to the benefits of nasikagra
drishti, the act of pursing the lips in this practice, together
with the contact of the indrawn air with the membranes of
the mouth, stimulates digestive secretions, aiding the digestive process generally","Kaki mudra should not be practised in a polluted
atmosphere or in excessively cold weather because the
normal filtering and air-conditioning function of the nose
is bypassed.
Care should be taken not to strain the eyes. People suffering from depression, glaucoma, low blood pressure or chronic constipation should
avoid this practice.
People suffering from diabetic retinopathy or those who
have just had cataract surgery, lens implant or other eye
operations, should not perform this practice without the
guidance of a competent teacher. ",,"On the flow and sound of the breath, and on the
nosetip. ",,,,,
205,Bhujangini Mudra (cobra respiration) ,"Sit in any comfortable meditation asana.
Close the eyes and relax the whole body, especially the
abdomen.
Push the chin forward and a little upward.
Suck in air through the mouth and draw it into the stomach,
not the lungs, in a series of gulps as though drinking
water.
Expand the stomach as much as possible.
Hold the air inside for as long as comfortable, then expel
the air by belching. ","Bhujangini mudra tones the whole stomach, removes
stagnant wind and helps alleviate abdominal disorders.
Retaining air in the stomach enables the practitioner to
float in water for any length of time. ",,,,,,,"This practice is similar to the shatkarma, vatsara
dhauti, and can be used as a cleansing practice. However,
in vatsara dhauti the air is expelled from the anus rather
than by belching. ",
206,Bhoochari Mudra (gazing into nothingness) ,"Sit in any comfortable meditation asana with the head and
spine straight and the hands in chin or jnana mudra.
Close the eyes and relax the whole body.
Open the eyes and raise the right hand in front of the face.
The elbow should point to the side of the body.
Hold the hand horizontally, palm down, with the fingers
together.
The side of the thumb should be in contact with the top of
the upper lip.
Focus the eyes on the tip of the little finger and gaze at it
intently for a minute or so, without blinking or flickering
the eyes.
Try to maintain continuous awareness of the little fingertip.
After a minute or so lower the hand. Continue to gaze into
the place where the little finger was, without blinking.
Become fully engrossed in this point of nothingness.
Simultaneously, be aware of any thought processes.
When the focus dissipates, raise the hand and again
concentrate on the tip of the little finger. After son1e time
440 
lower the hand and continue to gaze intently into the
space, the nothingness.
Be aware of space only; there should be no registration of
outer events in the field of conscious perception.
Continue the practice for 5 to I 0 minutes.","Bhoochari mudra develops the power of concentration and memory. It tranquillizes and introverts the
mind and is particularly beneficial for calming anger and
stress. It develops mental stability and the state of thoughtlessness. It helps to awaken ajna chakra and induce meditative states. It takes the practitioner into the psychic and
spiritual planes of consciousness. ","People suffering from glaucoma, diabetic
retinopathy or those who have just had cataract surgery,
lens implant or other eye operations should not perform
bhoochari mudra without the guidance of a competent
teacher. ",,"Physical - on the sensation of complete relaxation
and stillness.
Spiritual - on ajna chakra.",,,,"Bhoochari mudra may be performed as a preparation for
meditation and as a meditation technique in its own right. It
belongs to a group of techniques featuring gazing at an external
focal point as a means to achieve dharana or the meditative state
of relaxed concentration. It is allied to ruzsikagra drishti and
shambhavi mudras, all three being forms of trataka. ",
207,Akashi Mudra (awareness of inner space) ,"Sit in any comfortable meditation asana.
Close the eyes and relax the whole body for a few minutes.
Fold the tongue back against the palate in khechari mudra.
Practise ujjayi pranayama and sha1nbhavi mudra.
Bend the head backward about 45 degrees.
Straighten the arms and lock the elbows, pressing the
knees with the hands.
Breathe slowly and deeply in ujjayi.
Continue for as long as you feel comfortable.
End the practice by bending the elbows and releasing
khechari and shambhavi mudras.
Raise the head to the upright position.
Resume normal breathing and be aware of the inner space. ","This practice combines the benefits of kumbhaka,
ujjayi, shambhavi and khechari. It induces calmness and
tranquillity, and develops control over the senses. When
perfected, it arrests the thought processes and induces
higher states of consciousness.","As soon as faintness is felt, stop the practice. This
technique must be practised slowly under the guidance of
a competent teacher.
People suffering from high blood pressure, vertigo, brain disorders or epilepsy should not practise
this mudra. ",,On ajna chakra. ,,,,"Akashi mudra may also be practised with breath
retention. Perform the practice as described above. Inhale
while bending the head backwards. Hold the breath inside
in the final position. Exhale while slowly raising the head
to the starting position",
208,Shanmukhi Mudra (closing the seven gates),"Sit in siddha/siddha yoni asana if possible. Otherwise take
a comfortable meditation asana and place a small cushion
beneath the perineum to provide pressure in this area.
Hold the head and spine straight.
Close the eyes and place the hands on the knees.
Relax the whole body.
Raise the arms in front of the face with the elbows pointing
sideways.
Close the ears with the thumbs, the eyes with the index
fingers, the nostrils with the middle fingers, and the mouth
by placing the ring fingers above and little fingers below
the lips.
Release the pressure of the middle fingers and open the
nostrils. Inhale slowly and deeply, using full yogic
breathing.
At the end of inhalation, close the nostrils with the middle
fingers.
Retain the breath inside for as long as is comfortable.
444 
After some time, release the pressure of the middle fingers
and slowly exhale.
This is one round.
Inhale again immediately to start another round.
To end the practice, lower the hands to the knees, keeping
the eyes closed, and slowly externalize the mind, becoming
aware of external sounds and the physical body. ","Physically, the energy and heat from the hands and
fingers stimulate and relax the nerves and muscles of the
face. Mentally, it introverts the awareness. Spiritually, it
induces the state of pratyahara or sense withdrawal. "," People suffering from depression should
avoid this practice.","This technique gives greater benefits when the
practitioner can retain the breath for extended periods.
Duration: Practise for 5 minutes to begin with. Gradually build
the duration up over a period of months to 30 minutes. ","Physical - on synchronizing the hand mudra with
the breath.
Spiritual - hindu, ajna or anahata chakra may be used for
concentration. The important point is to introvert the
senses. ",,,,,
209,Unmani Mudra (the attitude of mindlessness),"Sit in any comfortable meditation asana.
Open the eyes fully, but without straining.
Inhale slowly and deeply. Hold the breath inside. Focus
the awareness at hindu in the back of the head for a few
seconds.
Exhale slowly, allowing the awareness to descend with the
breath from hindu through the chakras in the spine: ajna,
vishuddhi, anahata, manipura, swadhisthana, mooladhara.
The eyes should slowly close as the awareness descends. By
the time the awareness reaches mooladhara, the eyes should
be fully closed.
Even when the eyes are open, the awareness is looking
within.
Do not try too hard, but allow the process to occur
spontaneously.
Inhale deeply and begin the next round.
Continue for 5 to 10 minutes","Unmani mudra calms stress and agitation, and
induces a meditative state. ","Those who have just had eye operations,
or who have glaucoma or diabetic retinopathy should not
perform unmani without the guidance of a competent
teacher. ",,,,,,,
210,Vipareeta Karani Mudra (inverted psychic attitude),"Assume vipareeta karani asana.
Bring the legs over the head so that the eyes look straight
up at the feet.
Close the eyes and relax the whole body.
This is the starting position.
Fix the awareness at manipura chakra in the spine, directly
behind the navel.
Inhale slowly and deeply with ujjayi pranayama.
447 
Simultaneously, feel the breath and consciousness moving
from manipura to vishuddhi chakra.
While exhaling, maintain the awareness at vishuddhi.
At the end of exhalation, immediately bring the awareness
back to manipura and repeat the same process. ","This practice gives all the benefits of vipareeta karani
asana. It balances the activities of the thyroid.
The posture reverses the downward and outward movement of energy, revitalizing and expanding the awareness.
The flow of prana in ida and pingala nadis is balanced,
resulting in an equal flow of breath in the nostrils. The
balancing effect also helps to prevent disease on the physical
and mental planes. ","This inverted practice should not be
performed unless the body is healthy. People suffering
from high blood pressure, heart disease, enlarged thyroid
or excessive toxins in the body should not perform this
practice. Precautions for inverted postures apply. ","Practise up to 7 rounds at first, or until discomfort
arises. If pressure builds up in the head, end the practice.
Gradually increase the number of rounds up to 21 over a
period of months.
The length of the inhalation and exhalation will increase
spontaneously over time, as the practice becomes more
comfortable","Physical - on the inverted posture and the movement of the breath.
Spiritual - on manipura and vishuddhi chakras. ",,,,,
211,Pashinee Mudra (folded psychic attitude),"Assume halasana. Separate the feet by about half a metre.
Bend the knees and bring the thighs towards the chest
until the knees touch the ears, shoulders and floor.
Wrap the arms tightly around the back of the legs.
Relax the whole body in this position and close the eyes.
Breathe slowly and deeply.
Maintain the position for as long as is comfortable.
Slowly release the arms and come back into halasana.
Lower the legs and relax in shavasana. "," Pashinee mudra brings balance and tranquillity to
the nervous system and induces pratyahara, sensory with449 
drawal. It stretches the spine and back muscles, and
stimulates all the spinal nerves. It massages the abdominal
organs","As for sarvangasana and halasana. People
suffering from any spinal condition should avoid this
practice. Precautions for inverted postures apply. ",,"Physical - on the stretch of the neck.
Spiritual - on mooladhara or vishuddhi chakra. ",,,,,
